gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
CYP51A1,8018.616817246599,-0.4599281835197234,0.045497151141485316,1.896639495292459e-26,2.2313963662115778e-23
PLXND1,1371.826603923665,0.34686587122071016,0.07558438350186177,2.4839643689357467e-7,3.726738465529742e-6
PDK4,45.51153132882075,0.698907826785329,0.5556631647317304,0.0014816961648354634,0.005971620455365993
ZMYND10,40.08354003019252,0.4272685994451259,0.1969079569519498,5.822029962283038e-4,0.0027371101900603373
SPPL2B,436.56204400228967,0.44279703023112676,0.08811708835839956,3.997403101391912e-9,1.011385967481201e-7
GCFC2,607.7579655075382,-0.3678188518729111,0.06691774094011244,1.459544190513007e-9,4.0723013600123784e-8
LAMP2,10471.747096553292,0.3693417358065596,0.0670105976624297,1.2958385654735355e-9,3.6662622980672096e-8
CX3CL1,1520.9417284684384,0.4909484085869489,0.29602215655933994,0.0016108272292007276,0.006397091089129641
TNFRSF12A,2330.1825825152046,-0.37529351445284787,0.07148177367847423,4.809207148918781e-9,1.1849214219942211e-7
MAP3K9,330.5487407057525,0.443661086362577,0.17672537605290428,1.7883639719402266e-4,0.0010103290338476238
KDM7A,232.94092003795427,0.31241910749524476,0.13294711247361138,0.0014309967134993238,0.005813758734153512
DBF4,1701.4433856102698,-0.33394611000114044,0.0662128136481336,3.414891137480603e-8,6.668248005387435e-7
ARHGAP44,263.1710284209832,1.3727901210836653,0.267876649652296,3.059457852877525e-9,8.058474993829272e-8
PROM1,554.0395231150887,1.8060924659443156,0.4032349542200247,4.19113220928164e-8,7.930036691152732e-7
DNAH9,401.6572928007402,0.4100210151052412,0.24819893322611528,0.0026204977718653415,0.009562059052192609
CACNA2D2,11.142217552884778,0.5395307690722901,0.33392353746866144,0.0014469667582462107,0.00586513829828309
MYLIP,120.761527765121,0.9567531394876916,0.16595323029792672,4.009529686256232e-10,1.350991410753353e-8
TFAP2B,123.83884059196023,0.46863130256485197,0.2578709909460875,0.001193561186938815,0.004964848802947021
CELSR3,286.35367844422836,0.4836735080261998,0.10216872935560471,1.0567117874952351e-8,2.386358312898234e-7
PKD1,1381.7717154023348,0.4960256205552571,0.12818356240561585,6.20666698182451e-7,8.258786470254328e-6
MAPK8IP2,169.1846059918804,0.3536081719872275,0.15900685928255484,0.0010898656352600216,0.004614961371607659
IFFO1,1080.2009109365558,0.31482191040110613,0.1079537450541014,2.918846328199323e-4,0.0015307679220474756
SEMA3G,16.341542486545553,0.5744534916687773,0.31117760566597935,7.135281911108713e-4,0.0032359752656933123
FYN,2461.5459333921676,0.4123541149425521,0.07780024375256803,1.621749116893655e-9,4.507057880374926e-8
MRC2,4629.18288870047,0.5642771727028438,0.07069967473658273,3.047925821981426e-18,7.823748500860685e-16
ANLN,6628.714642291484,-0.47368477103887946,0.12203788924456363,7.087716568287272e-7,9.188648531779587e-6
SEMA3B,186.01690835554564,0.5037610505774893,0.2277259796642067,3.188308011337758e-4,0.0016470878288151445
LTF,45.82073758656162,1.5629820295773997,0.4015412304122633,4.945698607345381e-7,6.832032577152846e-6
CALCOCO1,459.7272441991927,0.6217123842754955,0.12118663889595015,1.2937002665689315e-9,3.6662622980672096e-8
EHD3,325.1235416420341,-0.35809184252800613,0.0749518877161932,7.956450166122206e-8,1.4023615910775694e-6
POLR3B,558.1162855795793,-0.30771007324180366,0.06429300004305628,2.0231882696625903e-7,3.1216799990269345e-6
GPRC5A,453.36476304377624,0.6248792318352057,0.29213357879231605,2.782540627504625e-4,0.0014751749372553622
MAMLD1,1117.6312834928697,-0.55848127654813,0.18075278115938875,1.2657590582152073e-5,1.077154091855473e-4
MTMR11,518.1735395595125,0.3869461799712239,0.11591490723342131,2.0912104229778395e-5,1.6539892858039853e-4
CNTN1,98.18892230832724,-0.7980330450433177,0.3749841313208713,2.0444233142139493e-4,0.0011318889549048053
CD74,2030.3209922610367,0.45706610047386104,0.23654569631006178,9.307355527732097e-4,0.004040628700508049
PLEKHB1,660.8553460859765,0.9469967448475789,0.2129888993598146,1.8161281843672635e-7,2.8394349620041003e-6
NRXN3,207.36102569377064,0.5947824537329879,0.27971020265228225,3.084962263219966e-4,0.0016029995300750636
GCLM,2054.9834160071764,-0.3020082892330906,0.04233211657196889,1.4148316545417034e-13,1.2329995863468993e-11
DEPDC1,1308.7206614942772,-0.32839246388172033,0.10011930147156207,7.168012054880272e-5,4.695962607461702e-4
RRAGD,900.4780998470129,0.40677936505218837,0.1742646977878725,4.340600573719257e-4,0.00213149909216586
NR1H3,71.29849295636298,0.5015165205328463,0.13121336422001562,7.399818734336977e-7,9.549418728644373e-6
RNASET2,149.37804891947917,0.33210589121688705,0.1452964941158957,0.0012503947136050322,0.005165649260356281
KCNG1,119.21945077100787,-0.5030640531087992,0.19912028683816702,1.1557324207045998e-4,7.033030308408422e-4
BTN3A1,339.2183549696219,0.5407361615708074,0.13045043478185334,1.440848248907352e-7,2.3381489170199993e-6
PRKCH,224.6035516412389,0.40948342082260286,0.19063014019997843,7.224104811976446e-4,0.0032678600363820398
ARNTL2,2958.189609504823,-0.6938098171945442,0.18368336590646653,1.092571903865608e-6,1.3530640472609343e-5
HMGB3,2594.1050211116735,-0.3646623487291307,0.07781027011033215,1.0801954868791471e-7,1.8329567167980528e-6
IKZF2,47.83473414110338,-0.4249508241705803,0.24223143169198344,0.001836391982678339,0.007122577475673844
GRN,2761.820607661541,0.4390947104445845,0.14267382863479772,2.6459452563313148e-5,2.0126861599615035e-4
ABCF2,1819.716099907393,-0.3090010379615608,0.06702326267500405,4.6097812211855693e-7,6.437279058427089e-6
SPDL1,1206.174873042667,-0.3620977877958553,0.09140523273553704,2.9291402505399693e-6,3.123877874058295e-5
CTNS,298.5571729436137,0.3054255286353447,0.1099343148676899,5.131095228588004e-4,0.0024581202048593637
MYO16,102.94366391622145,-0.4774490468041053,0.2615369118267488,0.0011144513202348174,0.0046980662105330405
TDP1,834.0948721200418,-0.3690992883781259,0.07906090355885566,1.0733490298571473e-7,1.827930229616792e-6
ADAM28,55.73583853324462,0.9538616893720488,0.28795143706001863,7.877850615527887e-6,7.240852538412937e-5
EPHA3,2819.90585604736,0.8451451520637513,0.4054244446559968,2.0407089701305543e-4,0.0011307193579396847
FAM214A,482.6908428401061,0.3902365503746055,0.07721636314091988,9.834335297237243e-9,2.2502616811409303e-7
CP,225.22441704701885,1.8857757709327143,0.5284398238546967,1.042277573841212e-6,1.2930469936283155e-5
ADAMTS6,237.0486696677037,-1.758676737229464,0.42331845280502056,1.6011192996009843e-7,2.5426999180839928e-6
RFC2,1337.4672689430017,-0.31813453836967814,0.0419883724447762,3.972147554070317e-15,4.793058048578183e-13
DKK3,7045.8869174491765,0.5050035037278795,0.06959727178712287,9.35938586782365e-16,1.2705366315570605e-13
TNIP3,13.376999942393544,0.6138373000091857,0.5971319570234497,0.002602954957718634,0.009508025379837432
HERPUD1,965.8117184753628,0.3412282883809117,0.1429754844214532,8.459081125265707e-4,0.003732040853953164
RAD51,304.13796807845847,-0.3385844970054073,0.06179334833124129,2.991705259147464e-9,7.939265948993214e-8
MSMO1,5236.291777621987,-0.515183332864835,0.07570807698794829,2.375274931841459e-14,2.3952951062669797e-12
MRTO4,1135.8106357961353,-0.4332783693857757,0.05625512273270089,1.052621298284079e-16,1.9553825643650825e-14
LAMA3,255.34093453127667,0.4726961081139009,0.16487230964788374,4.204229508078753e-5,2.9662824685185326e-4
CHRDL2,27.865809368147826,4.038547788182943,0.641370033796275,1.9486435962393658e-14,2.0378481697561014e-12
MCOLN3,254.58525243141932,0.5018408872412652,0.1698509365604657,2.5441474732786213e-5,1.9499605878256013e-4
PRDM1,414.07154724144857,-0.5132187291987488,0.16418834373053462,1.2567701417534674e-5,1.0714490591879734e-4
USP13,2068.2851090646354,-0.3068656213181835,0.08245143224135165,2.138937650289297e-5,1.687012388088508e-4
RIOK2,773.4152678277247,-0.38564169988731234,0.05628719611853778,1.8907473031288149e-13,1.5795012086137638e-11
MXD1,411.1183724823145,0.43596555084061134,0.10764587474654941,5.330915414799195e-7,7.236717675589907e-6
CDK17,1496.5078828899734,-0.36517470830817084,0.08011823229097932,1.973699081635891e-7,3.055338117821876e-6
SLC2A3,4289.6237248674715,1.6698196194374217,0.2104091353769733,1.3765055916424225e-17,3.1344364423883422e-15
PSD,28.395473923499882,0.3917181792756097,0.22289416093341272,0.002342216347094806,0.008741054821116699
COL11A1,31.208281756306437,1.0436066895011575,0.6564113679328303,3.066563064629235e-4,0.0015946127936072021
LZTS1,1309.6745932551555,0.3601527466610187,0.15330846348294352,7.187821658987688e-4,0.0032556197042537113
CA11,210.64915112277953,0.4928856721085848,0.24604729951310808,6.276724520119908e-4,0.002914001866986283
GPC1,9459.453164274913,0.36803337574248085,0.12035641758699993,7.57773688271056e-5,4.932341600281591e-4
CDON,359.03522266256545,0.4393947868514537,0.21860846630923453,8.392748968233428e-4,0.003707410198170198
LPAR2,32.343533414865796,0.44068795637634045,0.21064404762527952,6.582253987666274e-4,0.0030240241392083455
CTSA,3798.4106779854064,0.32907733412350104,0.09947646339185973,6.433206539243052e-5,4.268045578995931e-4
EYA2,97.84255469345152,1.2897989550172517,0.4208820334424452,8.966957289322035e-6,8.035369206265796e-5
ABCA7,121.8031261923729,0.6681903687583194,0.09356045862908798,8.567744756038166e-15,9.7547919730441e-13
SBNO2,779.6802271080835,0.3400777075924692,0.06916366906915683,5.762310962365699e-8,1.0510633871663944e-6
IPO5,9462.510542694348,-0.36348005790398236,0.055532298595058864,2.5626812679820285e-12,1.573040614842186e-10
WDR3,1547.7780206400407,-0.33633968938882747,0.06397843330992342,1.0581245954627386e-8,2.386358312898234e-7
MCM10,912.1450002669485,-0.43534100570456064,0.10585459582906602,4.0625584818280375e-7,5.7470140928304845e-6
MYLK,4175.027410746947,-0.3436322720458161,0.11061776791928273,9.757692745284316e-5,6.084766173936572e-4
COL17A1,47.666249391521944,-0.9358621055792081,0.5165461140090154,2.8400721005599676e-4,0.0014989210435777803
FAM107B,250.56102412815295,-0.6899537508943469,0.12526193930587032,3.309454750225683e-10,1.1368097850045303e-8
IDI1,3608.5454451845726,-0.4600904103972016,0.062332476276412814,6.932007177121408e-16,9.594713463392161e-14
PLPP1,420.1420210456174,0.3010777345325698,0.0752190896411224,7.749991063389278e-6,7.141930406849205e-5
TRO,408.43362855802775,0.33413587356603885,0.0916197579551206,1.7318297260039706e-5,1.4116612050648996e-4
NAV3,2133.2030889455127,-0.6337630391945702,0.09003603743899481,1.0222007168245324e-14,1.1453515650895833e-12
PDZD4,556.9854328027291,0.5230427133124577,0.12802173979453882,1.9996152234786244e-7,3.0920665635346353e-6
PDK3,1553.48477167511,0.4775543288023246,0.11851459138364658,3.5043208819202004e-7,5.022741341213136e-6
PLEKHH3,274.8592186972617,0.3372598197377071,0.0847882698987469,4.4437628317689374e-6,4.471635328504195e-5
MEF2A,2961.891221740879,0.4880487152665929,0.1305019290919118,1.1665167869342452e-6,1.4295906248209788e-5
ACSL4,4755.367730555021,-0.44523316254472256,0.07428970907979124,1.3903853001567483e-11,7.112123067975714e-10
POLR1A,2650.8982137181238,-0.3032113014283611,0.08420293583690194,3.590229878158691e-5,2.5966631874920284e-4
PPP2R5B,348.7297670685768,0.6005724548169851,0.16124762663992998,9.848714333788678e-7,1.230479194375474e-5
MAST4,877.0950248860215,-0.42895609564676235,0.10138826167347376,2.623460209470173e-7,3.915223175190264e-6
SDK2,29.137492656715704,0.5791979193330046,0.4776651931645038,0.0026245114607883076,0.009571907208320673
BCL3,494.54680930279443,0.5020983088530966,0.17317751951269414,3.1175196955904404e-5,2.3135606148832493e-4
ABCC9,24.279166132038007,-0.9247588867789667,0.6492447752616923,5.437936877296125e-4,0.0025788643880976384
RORA,338.70065483560586,0.830486010792569,0.13359680790116316,2.2672635881668864e-11,1.0999734480323058e-9
TGFBR3,293.21505808673464,0.49493903742395434,0.21995745668390163,2.951353314390799e-4,0.001543865078691356
HES2,32.80572605906685,-0.4729299602487971,0.1915893939764025,1.655197607891681e-4,9.510818000901406e-4
SLC44A1,4168.8692696512035,0.32605160108483006,0.10379210201609497,1.1854790449421394e-4,7.173850474279093e-4
MNT,665.2797611056275,0.34978641311575853,0.07993539541784438,6.25945348922285e-7,8.306472306755693e-6
WIPI1,603.6811734962836,0.5495822651097642,0.10451744773996621,4.413077059210225e-10,1.4591058998110061e-8
ATP2B1,5914.829679279562,0.35327728236661177,0.13182046095874947,3.123493445443319e-4,0.00162003969370936
ING3,377.81268591987987,-0.33043532602919234,0.08931905844380854,1.5204275671953119e-5,1.2693906796962397e-4
TRIP13,1381.7834773593013,-0.40656267070228747,0.08761704359502753,5.667559921954771e-8,1.04050209334405e-6
ATP6AP1,3416.268459614644,0.5067062807801679,0.09075735430499483,7.488708526818353e-11,3.0920939060637048e-9
TRIB2,10730.965016906273,0.5018116866809266,0.11207672091042109,3.354779099353692e-8,6.578162683982698e-7
CYBRD1,4631.166734469196,0.41033842407414245,0.07368553265194201,3.718673080169001e-10,1.2658799953358238e-8
ADGRL1,1201.5189261920827,0.42329317743648226,0.06463511645739052,6.04021062264692e-13,4.441442373465064e-11
SREBF1,2314.4556060721825,1.2268267414334697,0.10043628844674918,5.256122129198585e-36,1.0600847460003661e-32
HMMR,821.8914136872412,-0.39055187565600924,0.12003262572065598,2.678975694838979e-5,2.0312448367205534e-4
TRHDE,498.8873911584632,-0.8400912180179222,0.15139585084177237,9.579784459469243e-10,2.8361055482115556e-8
P4HA2,874.4745743965315,0.872451539566893,0.182716688212768,4.20034720029452e-8,7.930036691152732e-7
ACADVL,1968.170847845664,0.6015622779756615,0.07519680749422658,4.0672632455437584e-18,1.0073968859752067e-15
ACAP1,19.12400169655533,1.0939847717506404,0.39048916382103976,2.441665615611066e-5,1.8826562076022408e-4
TMEM38A,107.38733083523175,0.35927777321941795,0.1580572091317054,8.910347084266841e-4,0.003889804580571406
PANX2,124.68008479491749,0.6777051572888273,0.1582684769157567,1.232307422713598e-7,2.0492009651202094e-6
PTGS2,859.8346616059156,2.396925363466324,0.40792919637391956,3.2406327530310176e-11,1.5000410887636692e-9
NOTCH3,925.9999456945641,0.6508334645459497,0.09671013973405783,1.1355278948006393e-13,1.014644482202242e-11
ATP2A3,41.33013332413082,0.7796149842303757,0.35741896700159337,1.8664837845272432e-4,0.001046921655540549
CA12,19838.90418156806,1.0787525582549553,0.07402611039881295,2.441379266174982e-49,8.616848119964599e-46
SCARF1,10.089484806225444,1.0823323076161822,0.5140941965604932,1.1378787982917635e-4,6.936344073524663e-4
GRAMD4,553.8001508818346,0.32630344219235774,0.07757962546262165,2.093690828686285e-6,2.3534018407160008e-5
CELSR1,1387.6868666530108,0.4205353550284445,0.12761333385995158,1.47815749455584e-5,1.2392296620035244e-4
ADD2,739.7591409794726,-0.4738789826838726,0.15960875930279503,2.8742273592231495e-5,2.1572749525524947e-4
FOSL2,2856.2799764270053,0.43319692463676684,0.1518994617509363,6.295920934327094e-5,4.1828617294508195e-4
SEC31B,52.79870352162934,0.845540789475369,0.25703263892833506,8.498499454375882e-6,7.698442157429234e-5
